source,target,value
Computer and Information Systems Managers,Judgment and Decision Making,3.62
Computer and Information Systems Managers,Systems Analysis,3.5
Computer and Information Systems Managers,Systems Evaluation,3.5
Computer and Information Systems Managers,Time Management,3.5
Computer and Information Systems Managers,Management of Financial Resources,3
Computer and Information Systems Managers,Management of Material Resources,2.88
Computer and Information Systems Managers,Management of Personnel Resources,3.5
Treasurers and Controllers,Reading Comprehension,4
Treasurers and Controllers,Active Listening,3.88
Treasurers and Controllers,Writing,3.62
Treasurers and Controllers,Speaking,4
Treasurers and Controllers,Mathematics,3.88
Treasurers and Controllers,Science,1.5
Treasurers and Controllers,Critical Thinking,4.12
Treasurers and Controllers,Active Learning,3.75
Treasurers and Controllers,Learning Strategies,3
Treasurers and Controllers,Monitoring,3.62
Treasurers and Controllers,Social Perceptiveness,3.25
Treasurers and Controllers,Coordination,3.75
Treasurers and Controllers,Persuasion,3
Treasurers and Controllers,Negotiation,3
Treasurers and Controllers,Instructing,2.88
Treasurers and Controllers,Service Orientation,2.88
Treasurers and Controllers,Complex Problem Solving,4
Treasurers and Controllers,Operations Analysis,2.75
Treasurers and Controllers,Technology Design,1.5
Treasurers and Controllers,Equipment Selection,1
Treasurers and Controllers,Installation,1
Treasurers and Controllers,Programming,1.88
Treasurers and Controllers,Operation Monitoring,1.62
Treasurers and Controllers,Operation and Control,1
Treasurers and Controllers,Equipment Maintenance,1
Treasurers and Controllers,Troubleshooting,1
Treasurers and Controllers,Repairing,1
Treasurers and Controllers,Quality Control Analysis,1.88
Treasurers and Controllers,Judgment and Decision Making,4.12
Treasurers and Controllers,Systems Analysis,3.38
Treasurers and Controllers,Systems Evaluation,3.38
Treasurers and Controllers,Time Management,3.5
Treasurers and Controllers,Management of Financial Resources,4
Treasurers and Controllers,Management of Material Resources,2.62
Treasurers and Controllers,Management of Personnel Resources,3
"Financial Managers, Branch or Department",Reading Comprehension,4
"Financial Managers, Branch or Department",Active Listening,4
"Financial Managers, Branch or Department",Writing,3.88
"Financial Managers, Branch or Department",Speaking,4
"Financial Managers, Branch or Department",Mathematics,3.25
"Financial Managers, Branch or Department",Science,1.38
"Financial Managers, Branch or Department",Critical Thinking,4
"Financial Managers, Branch or Department",Active Learning,3.75
"Financial Managers, Branch or Department",Learning Strategies,3.5
"Financial Managers, Branch or Department",Monitoring,4
"Financial Managers, Branch or Department",Social Perceptiveness,3.75
"Financial Managers, Branch or Department",Coordination,3.75
"Financial Managers, Branch or Department",Persuasion,3.62
"Financial Managers, Branch or Department",Negotiation,3.12
"Financial Managers, Branch or Department",Instructing,3.12
"Financial Managers, Branch or Department",Service Orientation,3.62
"Financial Managers, Branch or Department",Complex Problem Solving,3.75
"Financial Managers, Branch or Department",Operations Analysis,2.5
"Financial Managers, Branch or Department",Technology Design,1.5
"Financial Managers, Branch or Department",Equipment Selection,1
"Financial Managers, Branch or Department",Installation,1
"Financial Managers, Branch or Department",Programming,1.38
"Financial Managers, Branch or Department",Operation Monitoring,1.62
"Financial Managers, Branch or Department",Operation and Control,1.25
"Financial Managers, Branch or Department",Equipment Maintenance,1
"Financial Managers, Branch or Department",Troubleshooting,1
"Financial Managers, Branch or Department",Repairing,1.12
"Financial Managers, Branch or Department",Quality Control Analysis,1.38
"Financial Managers, Branch or Department",Judgment and Decision Making,3.88
"Financial Managers, Branch or Department",Systems Analysis,3.12
"Financial Managers, Branch or Department",Systems Evaluation,3
"Financial Managers, Branch or Department",Time Management,3.62
"Financial Managers, Branch or Department",Management of Financial Resources,3
"Financial Managers, Branch or Department",Management of Material Resources,2
"Financial Managers, Branch or Department",Management of Personnel Resources,3.75
Industrial Production Managers,Reading Comprehension,3.75
Industrial Production Managers,Active Listening,3.75
Industrial Production Managers,Writing,3.12
Industrial Production Managers,Speaking,4
Industrial Production Managers,Mathematics,3.12
Industrial Production Managers,Science,1.88
Industrial Production Managers,Critical Thinking,4
Industrial Production Managers,Active Learning,3.5
Industrial Production Managers,Learning Strategies,3.5
Industrial Production Managers,Monitoring,4
Industrial Production Managers,Social Perceptiveness,3.25
Industrial Production Managers,Coordination,3.88
Industrial Production Managers,Persuasion,3.25
Industrial Production Managers,Negotiation,3.12
Industrial Production Managers,Instructing,3.25
Industrial Production Managers,Service Orientation,2.88
Industrial Production Managers,Complex Problem Solving,3.5
Industrial Production Managers,Operations Analysis,2.75
Industrial Production Managers,Technology Design,1.88
Industrial Production Managers,Equipment Selection,2
Industrial Production Managers,Installation,1
Industrial Production Managers,Programming,1.75
Industrial Production Managers,Operation Monitoring,2.88
Industrial Production Managers,Operation and Control,2.38
Industrial Production Managers,Equipment Maintenance,1.88
Industrial Production Managers,Troubleshooting,2.25
Industrial Production Managers,Repairing,1.88
Industrial Production Managers,Quality Control Analysis,3.25
Industrial Production Managers,Judgment and Decision Making,3.75
Industrial Production Managers,Systems Analysis,3.5
Industrial Production Managers,Systems Evaluation,3.12
